No.	품목	규격	서울	10동	자스민	9연동	곤지암	대관령	평창	재고합계	올해판매량	지난해 판매량	생산량	폐기량	출고예정	분갈이	삽목	출고예정B	기타
256	티트리	24cm	31	0	0	0	0	0	0	31	0	5	15	0	0				
257	티트리	30cm	4	0	0	0	0	0	0	4	0	4	8	0	0				
258	파인애플민트	10cm	82	0	0	0	0	0	0	82	0	598	680	0	0		300		
259	파인애플민트	18cm	65	0	0	0	0	0	0	65	0	41	0	0	0				
260	파인애플세이지	10cm	0	0	0	30	0	0	0	30	0	326	720	249	0		300		
261	파인애플세이지	18cm	9	0	0	181	0	0	0	190	0	513	700	0	0				
262	파인애플세이지	24cm	19	0	0	11	0	0	0	30	1	3	62	0	0				
263	파인애플세이지	30cm	5	0	0	9	0	0	0	14	0	10	16	0	0				
264	패랭이	10cm	0	0	0	0	0	-1124	0	-1124	0	0	2480	0	0				
265	패랭이	18cm	1000	0	0	0	0	0	0	1000	0	0	2502	0	0				
266	팬지	10cm	0	0	0	0	0	0	0	0	0	0	7400	0	0				
267	팬지	15cm	985	0	0	0	0	0	0	985	15	97	0	0	0				
268	페추니아	10cm	0	0	0	0	0	0	0	0	0	60	620	0	0				소망교도소
269	페퍼민트	10cm	4941	0	0	0	0	0	0	4941	33	7006	12720	0	5050		500		
270	페퍼민트	18cm	20	0	0	0	0	0	0	20	0	0	20	0	0				
271	페퍼민트제라늄	10cm	0	0	0	0	0	0	0	0	0	0	220	0	0	60			
272	페퍼민트제라늄	18cm	0	0	0	86	0	0	0	86	0	30	60	0	0	34			
273	페퍼민트제라늄	24cm	1	0	0	0	0	0	0	1	0	10	8	0	0				
274	페퍼민트제라늄	30cm	0	0	0	8	0	0	0	8	0	0	8	0	0				
275	프렌치라벤다	10cm	0	0	1402	0	0	0	0	1402	12	1455	9832	0	0		5000		
276	프렌치라벤다	15cm	25	463	4948	0	0	0	0	5436	0	2682	8055	0	0				
277	프렌치라벤다	18cm	137	513	1362	80	0	0	0	2092	0	1450	3945	0	0				
278	프렌치라벤다	24cm	-6	4224	0	0	0	0	0	4218	0	2261	4722	0	0				
279	프렌치라벤다	30cm	18	427	0	0	0	0	0	445	0	417	455	0	0				
