item_name,grade,zone,unit,current_stock
로즈마리외대,24cm,자스민,개,0
로즈마리외대,24cm,9연동,개,0
로즈마리외대,24cm,곤지암,개,301
로즈마리외대,24cm,대관령,개,0
로즈마리외대,24cm,평창,개,0
로즈마리외대,30cm,서울,개,4
로즈마리외대,30cm,10동,개,0
로즈마리외대,30cm,자스민,개,0
로즈마리외대,30cm,9연동,개,0
로즈마리외대,30cm,곤지암,개,0
로즈마리외대,30cm,대관령,개,0
로즈마리외대,30cm,평창,개,0
로즈제라늄,10cm,서울,개,0
로즈제라늄,10cm,10동,개,0
로즈제라늄,10cm,자스민,개,0
로즈제라늄,10cm,9연동,개,0
로즈제라늄,10cm,곤지암,개,0
로즈제라늄,10cm,대관령,개,0
로즈제라늄,10cm,평창,개,0
로즈제라늄,15cm,서울,개,0
로즈제라늄,15cm,10동,개,0
로즈제라늄,15cm,자스민,개,0
로즈제라늄,15cm,9연동,개,0
로즈제라늄,15cm,곤지암,개,0
로즈제라늄,15cm,대관령,개,0
로즈제라늄,15cm,평창,개,0
로즈제라늄,18cm,서울,개,36
로즈제라늄,18cm,10동,개,0
로즈제라늄,18cm,자스민,개,0
로즈제라늄,18cm,9연동,개,71
로즈제라늄,18cm,곤지암,개,0
로즈제라늄,18cm,대관령,개,0
로즈제라늄,18cm,평창,개,0
로즈제라늄,24cm,서울,개,28
로즈제라늄,24cm,10동,개,0
로즈제라늄,24cm,자스민,개,0
로즈제라늄,24cm,9연동,개,-1
로즈제라늄,24cm,곤지암,개,0
로즈제라늄,24cm,대관령,개,0
로즈제라늄,24cm,평창,개,0
로즈제라늄,30cm,서울,개,5
로즈제라늄,30cm,10동,개,0
로즈제라늄,30cm,자스민,개,0
로즈제라늄,30cm,9연동,개,12
로즈제라늄,30cm,곤지암,개,0
로즈제라늄,30cm,대관령,개,0
로즈제라늄,30cm,평창,개,0
로지 로즈마리,10cm,서울,개,140
로지 로즈마리,10cm,10동,개,0
로지 로즈마리,10cm,자스민,개,0
로지 로즈마리,10cm,9연동,개,0
로지 로즈마리,10cm,곤지암,개,0
로지 로즈마리,10cm,대관령,개,0
로지 로즈마리,10cm,평창,개,0
로케트(루꼴라),10cm,서울,개,140
로케트(루꼴라),10cm,10동,개,0
로케트(루꼴라),10cm,자스민,개,0
로케트(루꼴라),10cm,9연동,개,0
로케트(루꼴라),10cm,곤지암,개,0
로케트(루꼴라),10cm,대관령,개,0
로케트(루꼴라),10cm,평창,개,0
루,10cm,서울,개,50
루,10cm,10동,개,0
루,10cm,자스민,개,0
